ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
1,4.67,0.5,0.2,-1,-1,-1,2-Jan,5,1,5,1,-1,0,0,d,d
-1,4.67,0.5,0.2,-1,-1,-1,2-Jan,5,1,5,1,1,0,0,d,D
2,2.16,0.5,0.3,-1,-1,-1,2-Jan,5,1,5,1,2,0,0,u,u
-2,2.16,0.5,0.3,-1,-1,-1,2-Jan,5,1,5,1,-2,0,0,u,U
3,93.4,8.6,3.4,-1,-1,-1,0,5,1,5,1,-1,0,0,s,s
-3,93.4,8.6,3.4,-1,-1,-1,0,5,1,5,1,1,0,0,s,S
4,1270,20,20,-1,-1,-1,0,5,1,5,1,2,0,0,c,c
-4,1270,20,20,-1,-1,-1,0,5,1,5,1,-2,0,0,c,C
5,4180,30,20,-1,-1,-1,0,5,1,5,1,-1,0,0,b,b
-5,4180,30,20,-1,-1,-1,0,5,1,5,1,1,0,0,b,B
6,172500,700,700,1420,190,150,0,5,1,5,1,2,0,0,t,t
-6,172500,700,700,1420,190,150,0,5,1,5,1,-2,0,0,t,T
11,0.51099895,1.50E-10,1.50E-10,0,0,0,,5,5,5,2,-3,0,0,e,
-11,0.51099895,1.50E-10,1.50E-10,0,0,0,,5,5,5,2,3,0,0,e,
12,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(e),
-12,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(e),
13,105.6583755,2.30E-06,2.30E-06,3.00E-16,3.00E-22,3.00E-22,,5,5,5,2,-3,0,0,mu,
-13,105.6583755,2.30E-06,2.30E-06,3.00E-16,3.00E-22,3.00E-22,,5,5,5,2,3,0,0,mu,
14,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(mu),
-14,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(mu),
15,1776.86,0.12,0.12,2.27E-09,4.00E-12,4.00E-12,,5,5,5,2,-3,0,0,tau,
-15,1776.86,0.12,0.12,2.27E-09,4.00E-12,4.00E-12,,5,5,5,2,3,0,0,tau,
16,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(tau),
-16,-1,-1,-1,0,0,0,,5,5,5,1,0,0,1,nu(tau),
17,-1,-1,-1,-1,-1,-1,,5,5,5,2,-3,0,4,tau',
-17,-1,-1,-1,-1,-1,-1,,5,5,5,2,3,0,4,tau',
18,-1,-1,-1,-1,-1,-1,,5,5,5,1,0,0,4,nu(tau'),
-18,-1,-1,-1,-1,-1,-1,,5,5,5,1,0,0,4,nu(tau'),
21,0,0,0,0,0,0,,5,-1,5,0,0,0,0,g,
22,0,0,0,0,0,0,,5,-1,-1,0,0,0,0,gamma,
23,91187.6,2.1,2.1,2495.5,2.3,2.3,,5,5,5,0,0,0,0,Z,
24,80377,12,12,2080,40,40,,5,5,5,2,3,0,0,W,
-24,80377,12,12,2080,40,40,,5,5,5,2,-3,0,0,W,
25,125250,170,170,3.2,2.4,1.7,,5,5,5,0,0,0,0,H,
