,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
Position",2022-23 Promoted,Teams,06.12.18,17.01.19,26.03.19,12.02.20,03.06.20,20.09.20,10.10.20,18.11.20,03.02.21,04.04.21,22.01.22,27.05.22,29.06.22,06.10.22,18.12.22,19.04.23,15.07.23,Gained between 19/4/23 & 29/6/22,,,,
0,League 2,2,,1,,Wrexham,"45,823","46,679","47,522","51,585",,,,,,,"111,870","134,144","137,138","198,011","279,085","443,120","532,387","395,598","122,000","919,000",,"797,000"
2,National League South,1,2,4,2,Aveley,"7,508","8,332","8,529","9,776","10,000","10,289","10,373","10,438","10,490","10,512","11,122","11,511","11,600","11,830","11,950","12,261","12,812",661,,,,
0,Leauge 2,5,,2,,Notts County,"61,270","63,320","63,890","71,096",,,,,,,"79,071","82,260","83,153","85,896","87,850","93,214","102,257","29,324","51,200","67,800",,"16,600"
3,Isthmian Premier League ,2,2,1,2,Chatham Town,,,"4,575","5,510","5,573","5,938","6,144",,"6,350","6,475","7,476","7,998","8,153",,"8,761","9,247","9,541","1,094",,,,
3,Northern Premier Division,1,2,1,2,Macclesfield Town,,,"23,658","25,258","25,435","26,032",,,"27,832","28,617","38,189","40,507","40,923",,"42,850","44,038","44,193","3,115",,,,
3,Southern Premier Div. Central,1,2,4,2,Long Eaton United,,,"4,419","5,003","5,049","5,257","5,371",,"5,524","5,666","6,229","6,591","6,648",,"7,022","7,233","7,609",585,,,,
3,Southern Premier Div. South,2,2,2,2,Walton & Hersham,,,"4,369","4,825","5,052","5,208",,,"5,407","5,621","7,110","8,197","8,330",,"10,032","10,948","12,746","2,618",,,,
4,Isthmian League North,1,2,1,2,Ipswich Wanderers,,,"3,405","3,722","3,741","3,951",,,"4,146",,"4,943","5,286","5,411",,"5,760","6,110","6,247",699,,,,
4,Northern League East Div.,2,2,1,2,North Ferriby,,,"16,260","17,693","17,500","17,927",,,"17,970",,"18,611","19,033","19,244",,"19,469","19,735","19,779",491,,,,
4,Southern Div. One Central,1,2,2,2,Stotfold ,,,"3,276","3,746","3,766","3,826",,,"3,948",,"4,463","4,718","4,830",,"5,138","5,300","5,428",470,,,,
4,Southern Div. One South,1,2,2,2,Bemerton Heath Harlequins,,,"1,614","2,020","2,093","2,242",,,"2,368",,"2,808","2,995","3,060",,"3,226","3,503","3,615",443,,,,
0,League 2,6,,,,Grimsby Town,,,,,,,,,,,"55,101","58,645",,,,,"70,210",0,,,,0
5,Eastern Counties Premier Div.,1,2,1,2,Heacham FC,,,,,,,,,,,,,"2,109",,"2,178","2,315","2,393",206,,,,
5,Northern League Div. One ,1,2,1,2,Boro Rangers,,,,,,,,,,,,,"2,320",,"2,623","2,859","2,942",539,,,,
0,League 2,1,,,,Stockport County ,"24,342","24,946","26,496","31,405",,,,,,,"40,333","45,709",,,,,"52,727","-26,496",,,,0
5,United Counties League Premier Div. South,1,2,3,2,Rugby Borough,,,,,,,,,,,,,"1,499",,"1,606","1,714","1,818",215,,,,
5,Western League Premier Div.,2,2,2,2,Nailsea & Tickenham,,,,,,,,,,,,,"1,315",,"1,501","1,716","1,468",401,,,,
1,National League,3,1,1,2,Ebbsfleet United,"16,495","16,716","17,001","18,534","18,700","19,039","19,134","19,244","19,415","19,537","20,427","21,360","21,487","22,112","22,601","23,276","23,480","1,789",,,,
1,National League,3,1,1,2,AFC Fylde,"19,734","19,935","20,994","25,489","25,500","25,803","25,987","26,192","26,522","26,786","27,961","28,715","28,829","29,300","29,513","29,934","30,121","1,105",,,,
1,National League,4,1,6,2,Kidderminster Harriers ,"17,842","18,061","18,371","20,223","20,300","20,660","20,836","21,079","21,382","21,427","25,857","30,199","30,299","30,668","30,943","31,284","32,459",985,,,,
1,National League,5,1,3,2,Oxford City,"9,513","9,627","9,775","10,656","10,800","11,000","11,061","11,495","11,723","11,911","12,828","13,504","13,722","14,456","14,655","15,129","16,078","1,407",,,,
2,National League North,2,1,1,2,South Shields,"18,357","19,706","20,236","22,649","23,500","24,159","24,324","24,782","24,860","24,989","27,513","29,577","29,841","30,771","31,826","32,952","33,529","3,111",,,,
2,National League North,2,1,1,2,Bishop's Stortford,"3,777","3,850","3,987","4,601","4,636","4,804","4,882","5,320","5,339","5,364","5,868","6,276","6,306","6,448","6,521","6,897","7,462",591,,,,
